country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,5.49,,,,,,,,,14.7,,,,,,,,,,12.8,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506,,,1.93,,,1.43,1.15,1.54,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.835,,,,,3.82,,2.95,,,2,1.26,,,,0.0357,,0,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66,0.317,,,0.463,,,8.11,,,11.5,12.4,12.6,12.6,14.7,14.3,15.9,17.2,18.5,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,16.4,19,,,,,,,,21.5,21.3,21.2,,,,,,26.1,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,45.2,47.8,,48.7,51.8,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,,,,,18.7,,20.3,20.9,24.1,23.2,24.2,,27,23.6,24,24.9,28,23.8,29.3,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,19.6,21,21,21.5,22.6,24.3,25.1,,,,,29,30.3,31.8,32.2,34.3,34.8,35.5,38.3,38.8,40,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,12.5,13,14,14.5,15.3,16,16.6,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,12.6,12.6,12.6,12.6,12.6,12.5,12.5,,13.1,16.4,16.3
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388,,,0.47,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284,0.239,0.283,0.316,0.333,0.306,0.299,30.6,31.5,32.5,32.9,35.6,36.6,36.9,38.5,40.3,41.3,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978,0,1.68,,1.23,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.753,0.926,,1.18,,
