country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,9.05,,,,,,,,,18.3,,,,,,,,,,12.8,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,,8.52,,,7.16,4.25,6.56,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,7.81,,5.25,,,3.34,2.93,,,,0.145,,0.24,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23,0.931,,,0.764,,,11.7,,,12.5,13.5,13.3,13.8,15,14.3,16.4,15.7,16.1,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,17.9,17,,,,,,,,21,20.9,20.9,,,,,,24,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,48,45.9,,46.1,50.5,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,20,,20.9,21.3,24.8,23.5,24.1,,27.7,24.8,24.8,23.5,26.9,24.7,27.7,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,20.3,19.9,21.1,22.2,21.6,21,22.7,,,,,24.5,26.9,27.7,27.8,28.4,28.6,30.6,31.6,33,33.5,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13.7,14,14.6,15.1,15.4,16,16.6,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,19,19,19.1,19.1,19.1,19.2,19.2,,19.4,19,19.2
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,1.4,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608,0.715,0.735,0.801,0.768,0.704,0.712,29.8,31,30.9,31.4,33.7,33.9,33.7,34.7,36.7,37.4,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,0,5.75,,5.3,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3.71,3.57,,3.95,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,8.59,7.84,7.97,11.2,11.5,12.1,12.5,12.9,,12.8,,
Bulgaria,,,,,,7.12,,,,,,,,,,,,,,,,,14.9,,,,,,,,,16.5,,,,,16.8,17.1,17.5,17.6,17.5,17.7,18.1,19.3,20.2,20.4,20.6,20.6,21,21,22.1,22.3,22.1,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81,,,,,,12.3,12.2,18.3,,21.7,,26.3,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356,,,,,,,,,,12.7,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,6.86,,,8.47,8.11,8.71,7.57,8.35,7.44,10.5,11.3,11.9,
Belarus,7.24,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,26.3,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,,,,,2.32,,,,5.99,6.7,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,28.1,,,,,,,
