country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,,,,,,,,,,96.7,,,,,,,,,,98,,,
Afghanistan,,,,,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,22.6,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,,,,,,,,,,,53.4,,,,,,,,62.5,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,,,,,,,94.7,,,95.7,96.1,,,,,,,,,,98.3,
UAE,,,,,,38.1,,,,,,,,,,68.7,,,,,,,,,,,,,,,,,,,,91.5,,,,,,,,,,,,,,97.1,,97.2,97.6,
Argentina,,,,,,,,,,,93.6,,,,,,,,,,,95.9,,,,,,,,,,97.2,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,98.2,,,,,,,,,,,,99.2,,,,,,,,,,99.7,,,,,99.7,99.7,,,99.7,,,
American Samoa,,,,,,,,,,,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,,,,,,,,99.4,,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,,99.7,,,,99.7
Burundi,,,,,,,,,,12,,,,,,,,,,,27.5,,,,,,,,,,52.2,,,,,,,,43.2,,,,,,54.6,,,61.2,,,,,69.4,
Benin,,,,,,,,,,9.54,,,,,,,,,,,,,16.6,,,,,,,,,,23.3,,,,18.4,,,,,,22.1,,,,,,,,,,36.4,
Burkina Faso,,,,,,3.39,,,,,,,,,,,,,,,,8.23,,,,,8.06,,,,,,,15.2,,16.6,16.3,21,,,,,,,26.2,,,,31,24.7,,,29.1,
Bangladesh,,,,,,,,,,,,18,,,,,,,,,,25.8,,,,,,,,,,40.8,,,,,,43.7,,,,55.1,54.2,57.8,57.9,62.3,69.9,70.1,71.2,71.9,72,73.6,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7,,,,,,,,,,98,,,,,,,,,,98.2,,
Bahrain,,,,,,,,,,,,58.6,,,,,,,,,,76.9,,,,,,,,,,83.6,,,,,,,,,,90.7,,,,,,,,,,,96.1,
