country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,,,,,,,,,96.9,,,,,,,,,,98,,,
Afghanistan,,,,,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,,,,,,,,52.1,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9,,,,,,,,,,,,,80,,,,,,,,82.8,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,97.3,,,98,98.4,,,,,,,,,,98.7,
UAE,,,,,,58.4,,,,,,,,,,72.3,,,,,,,,,,,,,,,,,,,,89.5,,,,,,,,,,,,,,98.2,,98.8,98.8,
Argentina,,,,,,,,,,,94.3,,,,,,,,,,,96.2,,,,,,,,,,97.2,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,,,,99.8,99.8,,,99.8,,,
American Samoa,,,,,,,,,,,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,99.8,,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,99.9,,,,99.8
Burundi,,,,,,,,,,34.3,,,,,,,,,,,48.2,,,,,,,,,,67.3,,,,,,,,53.1,,,,,,69.6,,,76.3,,,,,81.8,
Benin,,,,,,,,,,25.2,,,,,,,,,,,,,39.9,,,,,,,,,,47.9,,,,40.6,,,,,,45,,,,,,,,,,57.9,
Burkina Faso,,,,,,14.5,,,,,,,,,,,,,,,,19.6,,,,,18.5,,,,,,,29.4,,31.4,29.7,36.6,,,,,,,44.4,,,,49.2,35.4,,,40.1,
Bangladesh,,,,,,,,,,,,39.7,,,,,,,,,,44.3,,,,,,,,,,53.9,,,,,,49.8,,,,62.5,61.5,64.2,64.4,68.1,75.6,75.7,76.7,77.4,77.8,79.2,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,,,,,,,,,98.7,,,,,,,,,,98.7,,
Bahrain,,,,,,,,,,,,76.5,,,,,,,,,,88.5,,,,,,,,,,88.6,,,,,,,,,,93.1,,,,,,,,,,,98.8,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,96.3,,,,,,,,,99,,,,,,,,,,,99.5,,99.2,,,,,,,,,99.4,
Belarus,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,,,99.8,,,,,,,,,,99.8,,,,,,,,,,99.9,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,70.3,,,,,,,,,,80.4,,,,,,,,,,,,,,,,,,,,,,
