country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,,,,,,,,,,,,21.3,,,,,,,,
Germany,,,,,,,,,1.58,1.62,1.74,1.82,1.85,1.74,1.74,1.71,29.6,30.0,30.7,30.8
Luxembourg,,,,,,,,,1.99,1.62,2.07,4.44,3.25,1.94,2.02,2.06,35.5,32.5,36.3,32.9
France,,,,,,,,,,,,,,,,,17.2,18.2,18.0,18.5
Moldova,,,11.7,11.7,12.4,12.7,13.8,13.3,16.0,14.6,14.8,15.2,15.6,16.7,17.5,17.5,18.0,17.2,16.9,17.1
Canada,18.0,18.5,19.1,19.7,20.1,20.9,20.7,21.5,22.2,22.6,22.8,23.0,23.6,24.0,24.5,25.0,25.2,25.8,24.7,26.9
UK,,,,,,,,,1.3,1.32,1.37,1.5,1.5,1.35,1.41,28.2,28.8,25.2,26.0,33.1
Indonesia,,,,,,,,,,,,,,5.37,6.56,6.84,8.26,8.91,9.11,8.71
Georgia,,,,,,,,,,,,0.0,0.0,33.2,30.6,32.7,30.8,34.0,32.5,33.6
Russia,,,,,,,,,,,,,57.1,,,,,,,
USA,27.2,28.0,28.1,28.3,28.8,29.2,29.4,29.2,29.6,30.1,30.4,30.4,30.4,30.7,31.3,32.0,31.9,32.3,33.2,31.4
El Salvador,,,,,,,,,,,,,,,,6.7,,,7.87,7.36
Costa Rica,,,,11.1,11.3,11.6,11.7,12.1,12.5,12.9,,,,,,,22.9,20.7,19.8,
Panama,,,,,,17.5,,,,,17.8,,13.4,,,,,,,
