country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,31.4,31.5,31.8,32.2,32.7,33.1,33.5,34.1,34.0,34.2,34.3,33.9,33.9,34.0,34.3,34.4,34.6,34.3,34.0,34.1
Germany,31.6,31.6,31.8,31.8,32.0,31.3,32.4,34.4,34.9,36.6,36.3,36.9,36.4,36.5,36.0,37.5,37.9,37.9,37.8,37.5
Luxembourg,38.1,37.9,36.9,37.6,36.1,35.5,38.3,39.7,35.2,39.3,38.0,33.0,36.3,35.0,33.8,33.1,32.5,33.5,33.6,35.1
France,31.5,31.4,31.7,32.0,31.8,31.9,32.4,32.3,32.2,33.0,33.4,31.7,32.1,32.2,31.4,30.9,31.1,31.9,31.9,32.0
Moldova,34.2,33.9,33.6,34.1,33.7,34.2,33.5,34.4,34.1,34.1,34.4,34.3,33.3,33.0,33.2,32.5,32.8,33.0,32.2,32.5
Canada,36.8,37.1,38.7,37.7,37.6,37.7,38.4,39.3,40.0,40.3,39.3,37.9,38.8,38.9,38.5,39.5,39.8,39.9,38.0,39.6
UK,35.2,35.7,35.1,35.4,35.9,37.2,36.7,38.0,38.3,38.6,37.0,38.1,35.0,36.1,35.8,37.6,36.9,35.9,36.0,36.1
Indonesia,39.7,37.3,37.9,38.5,39.1,40.4,41.6,42.9,42.7,42.6,42.4,41.9,41.5,41.0,40.9,40.7,40.6,40.7,40.8,40.7
Georgia,31.4,31.5,31.8,32.2,32.7,33.1,33.5,34.1,34.0,34.2,34.3,33.9,33.9,34.0,34.3,34.4,34.6,34.3,34.0,34.1
Russia,44.6,47.9,50.5,51.0,49.1,49.1,48.7,48.0,49.6,49.0,51.9,49.4,45.4,48.0,45.3,47.0,45.1,45.1,45.5,45.2
USA,41.8,42.1,42.6,41.8,41.4,41.5,42.2,43.2,44.1,44.0,43.6,42.4,43.7,44.3,45.4,44.9,45.5,45.5,45.3,45.2
El Salvador,0.0,0.0,51.6,48.5,47.9,48.3,47.7,49.7,49.9,49.7,49.0,48.4,46.5,46.4,46.3,51.4,49.4,47.3,49.3,45.6
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,48.7,50.7,50.9,50.7,51.5,51.9,49.8
Panama,0.0,0.0,0.0,0.0,52.5,53.0,52.4,52.0,53.0,53.5,52.6,51.8,51.4,51.7,49.7,50.8,50.2,50.0,49.5,49.0
